source_table,source_field,source_code,target_table,target_field,target_code,target_desc,target_domain
nodes,Node_ID,,SewerStormwater_Nodes,STRUCT_ID,,,
nodes,Critical, ,SewerStormwater_Nodes,CRIT_STRCT,,,domain_trww_yn
nodes,Critical,Critical Modeled,SewerStormwater_Nodes,CRIT_STRCT,Y,,domain_trww_yn
nodes,Owner, ,SewerStormwater_Nodes,OWNER_NAME,,,domain_trww_owners
nodes,Owner,ACSA,SewerStormwater_Nodes,OWNER_NAME,ACSA,,domain_trww_owners
nodes,Owner,ACSA/PWSA,SewerStormwater_Nodes,OWNER_NAME,ACSA/ PWSA,,domain_trww_owners
nodes,Owner,Allegheny County,SewerStormwater_Nodes,OWNER_NAME,ALCO,,domain_trww_owners
nodes,Owner,Allegheny County Port Authority,SewerStormwater_Nodes,OWNER_NAME,ACPA,,domain_trww_owners
nodes,Owner,Allegheny General Hospital,SewerStormwater_Nodes,OWNER_NAME,PINT-AGH,,domain_trww_owners
nodes,Owner,Aspinwall,SewerStormwater_Nodes,OWNER_NAME,ASPI,,domain_trww_owners
nodes,Owner,Baldwin Borough,SewerStormwater_Nodes,OWNER_NAME,BALB,,domain_trww_owners
nodes,Owner,Baldwin Township,SewerStormwater_Nodes,OWNER_NAME,BALT,,domain_trww_owners
nodes,Owner,Bellevue and Ross,SewerStormwater_Nodes,OWNER_NAME,BELL-ROSS,,domain_trww_owners
nodes,Owner,Bellevue Borough,SewerStormwater_Nodes,OWNER_NAME,BELL,,domain_trww_owners
nodes,Owner,Bellevue Ross PWSA ALCOSAN,SewerStormwater_Nodes,OWNER_NAME,,,domain_trww_owners
nodes,Owner,Borough of Ingram,SewerStormwater_Nodes,OWNER_NAME,INGR,,domain_trww_owners
nodes,Owner,Brentwood Borough,SewerStormwater_Nodes,OWNER_NAME,BREN,,domain_trww_owners
nodes,Owner,Crafton Borough,SewerStormwater_Nodes,OWNER_NAME,CRAF,,domain_trww_owners
nodes,Owner,Dormont Borough,SewerStormwater_Nodes,OWNER_NAME,DORM,,domain_trww_owners
nodes,Owner,DPW,SewerStormwater_Nodes,OWNER_NAME,PITT,,domain_trww_owners
nodes,Owner,Edgewood Borough,SewerStormwater_Nodes,OWNER_NAME,EDGE,,domain_trww_owners
nodes,Owner,Etna Borough,SewerStormwater_Nodes,OWNER_NAME,ETNA,,domain_trww_owners
nodes,Owner,Fox Chapel,SewerStormwater_Nodes,OWNER_NAME,FCHA,,domain_trww_owners
nodes,Owner,Green Tree Borough,SewerStormwater_Nodes,OWNER_NAME,GTRE,,domain_trww_owners
nodes,Owner,Housing Authority of Pittsburgh,SewerStormwater_Nodes,OWNER_NAME,HAPI,,domain_trww_owners
nodes,Owner,J&L Steel,SewerStormwater_Nodes,OWNER_NAME,PIND-JLST,,domain_trww_owners
nodes,Owner,Lincoln Property Company,SewerStormwater_Nodes,OWNER_NAME,PCOM-LPCO,,domain_trww_owners
nodes,Owner,Morewood Heights Associates,SewerStormwater_Nodes,OWNER_NAME,PRES-HA,,domain_trww_owners
nodes,Owner,Mount Oliver Borough,SewerStormwater_Nodes,OWNER_NAME,MOLI,,domain_trww_owners
nodes,Owner,Mt. Lebanon,SewerStormwater_Nodes,OWNER_NAME,MLEB,,domain_trww_owners
nodes,Owner,Munhall Borough,SewerStormwater_Nodes,OWNER_NAME,MUNH,,domain_trww_owners
nodes,Owner,PA American Water,SewerStormwater_Nodes,OWNER_NAME,PAAW,,domain_trww_owners
nodes,Owner,Penn Hills,SewerStormwater_Nodes,OWNER_NAME,PHWP,,domain_trww_owners
nodes,Owner,PENNDOT,SewerStormwater_Nodes,OWNER_NAME,PDOT,,domain_trww_owners
nodes,Owner,PennDOT,SewerStormwater_Nodes,OWNER_NAME,PDOT,,domain_trww_owners
nodes,Owner,Pittsburgh and West Virginia Railroad,SewerStormwater_Nodes,OWNER_NAME,RAIL-PWVR,,domain_trww_owners
nodes,Owner,Pittsburgh Public Schools,SewerStormwater_Nodes,OWNER_NAME,PINT-PPS,,domain_trww_owners
nodes,Owner,Point Park University,SewerStormwater_Nodes,OWNER_NAME,PINT-PPU,,domain_trww_owners
nodes,Owner,PWSA,SewerStormwater_Nodes,OWNER_NAME,PWSA,,domain_trww_owners
nodes,Owner,PWSA to ACSA,SewerStormwater_Nodes,OWNER_NAME,PWSA,,domain_trww_owners
nodes,Owner,PWSA to ACSA Add,SewerStormwater_Nodes,OWNER_NAME,PWSA,,domain_trww_owners
nodes,Owner,PWSA to ACSA Verify,SewerStormwater_Nodes,OWNER_NAME,PWSA,,domain_trww_owners
nodes,Owner,Reserve Township,SewerStormwater_Nodes,OWNER_NAME,RESE,,domain_trww_owners
nodes,Owner,Swissvale Borough,SewerStormwater_Nodes,OWNER_NAME,SWIS,,domain_trww_owners
nodes,Owner,University of Pittsburgh,SewerStormwater_Nodes,OWNER_NAME,PINT-PITT,,domain_trww_owners
nodes,Owner,West Homestead Borough,SewerStormwater_Nodes,OWNER_NAME,WHOM,,domain_trww_owners
nodes,Owner,West Mifflin Borough,SewerStormwater_Nodes,OWNER_NAME,WMIF,,domain_trww_owners
nodes,Owner,Whitehall Borough,SewerStormwater_Nodes,OWNER_NAME,WHAL,,domain_trww_owners
nodes,Owner,Wilkinsburg Borough,SewerStormwater_Nodes,OWNER_NAME,WILK,,domain_trww_owners
nodes,Placed_By, ,SewerStormwater_Nodes,SRC_NOTE, ,,
nodes,Placed_By,CCTV,SewerStormwater_Nodes,SRC_NOTE,CCTV,,
nodes,Placed_By,Field Observation,SewerStormwater_Nodes,SRC_NOTE,Field Observation,,
nodes,Placed_By,GPS,SewerStormwater_Nodes,SRC_NOTE,GPS,,
nodes,Placed_By,Record Drawing,SewerStormwater_Nodes,SRC_NOTE,Record Drawing,,
nodes,Sewer_Use,ABN,SewerStormwater_Nodes,SEWERTYPE,UK,,domain_trww_sewertype
nodes,Sewer_Use,COM,SewerStormwater_Nodes,SEWERTYPE,COM,,domain_trww_sewertype
nodes,Sewer_Use,FM,SewerStormwater_Nodes,SEWERTYPE,FM,,domain_trww_sewertype
nodes,Sewer_Use,INT,SewerStormwater_Nodes,SEWERTYPE,SAN,,domain_trww_sewertype
nodes,Sewer_Use,OVF,SewerStormwater_Nodes,SEWERTYPE,OVF,,domain_trww_sewertype
nodes,Sewer_Use,PVT,SewerStormwater_Nodes,SEWERTYPE,UK,,domain_trww_sewertype
nodes,Sewer_Use,PVTCOM,SewerStormwater_Nodes,SEWERTYPE,COM,,domain_trww_sewertype
nodes,Sewer_Use,PVTOVF,SewerStormwater_Nodes,SEWERTYPE,OVF,,domain_trww_sewertype
nodes,Sewer_Use,PVTRCOM,SewerStormwater_Nodes,SEWERTYPE,COM,,domain_trww_sewertype
nodes,Sewer_Use,PVTSAN,SewerStormwater_Nodes,SEWERTYPE,SAN,,domain_trww_sewertype
