source_field,target_field,source_code,target_code,target_desc
ALCOSAN,ALCOSAN, ,,
ALCOSAN,ALCOSAN,N,N,No
ALCOSAN,ALCOSAN,0,UK,Unknown
ALCOSAN,ALCOSAN,UNK,UK,Unknown
ALCOSAN,ALCOSAN,Y,Y,Yes
ALCOSAN,ALCOSAN,yes,Y,Yes
ALCOSAN,ALCOSAN,,,
GEO_TYP_PT,GEO_TYP_PT,,,
GEO_TYP_PT,GEO_TYP_PT,AccessPt,AccessPt,manhole/access
GEO_TYP_PT,GEO_TYP_PT,CrownPt,CrownPt,crown
GEO_TYP_PT,GEO_TYP_PT,DischargePt,DischargePt,outfall/discharge point
GEO_TYP_PT,GEO_TYP_PT,FlowSplitPt,FlowSplitPt,flow split
GEO_TYP_PT,GEO_TYP_PT,OverflowPt,OverflowPt,overflow
GEO_TYP_PT,GEO_TYP_PT,PumpPt,PumpPt,pump/facility
GEO_TYP_PT,GEO_TYP_PT,UntreatedPathPt,UntreatedPathPt,manhole/access (untreated)
MAINTAINED,MAINTAINED, ,,
MAINTAINED,MAINTAINED,AuthorityM,AUTH,Authority Maintenance
MAINTAINED,MAINTAINED,AuthorityMaintenance,AUTH,Authority Maintenance
MAINTAINED,MAINTAINED,MUNI,MUNI,Municipal Maintenance
MAINTAINED,MAINTAINED,MunicipalM,MUNI,Municipal Maintenance
MAINTAINED,MAINTAINED,MunicipalMaintnenace,MUNI,Municipal Maintenance
MAINTAINED,MAINTAINED,Municpal,MUNI,Municipal Maintenance
MAINTAINED,MAINTAINED,na,NA,Not Applicable
MAINTAINED,MAINTAINED,unknown,UK,Unknown
MAINTAINED,MAINTAINED,,,
MDEL_EXT,MDEL_EXT, ,,
MDEL_EXT,MDEL_EXT,,,
MDEL_EXT,MDEL_EXT,NA,NA,Not Applicable
MDEL_EXT,MDEL_EXT,UNK,UK,Unknown
MDEL_EXT,MDEL_EXT,ME,Y,Yes
MDEL_EXT,MDEL_EXT,Y,Y,Yes
MUN_SUB_PT,MUN_SUB_PT, ,,
MUN_SUB_PT,MUN_SUB_PT,ACC (access tee only,ATC,tee connection
MUN_SUB_PT,MUN_SUB_PT,AEP,AEP,end of pipe
MUN_SUB_PT,MUN_SUB_PT,AJB,AJB,junction box
MUN_SUB_PT,MUN_SUB_PT,AM,AM,Meter
MUN_SUB_PT,MUN_SUB_PT,AMH,AMH,Manhole
MUN_SUB_PT,MUN_SUB_PT,ANG,ANG,ANG
MUN_SUB_PT,MUN_SUB_PT,AR,AR,air release
MUN_SUB_PT,MUN_SUB_PT,AR (air release),AR,air release
MUN_SUB_PT,MUN_SUB_PT,ATC,ATC,tee connection
MUN_SUB_PT,MUN_SUB_PT,Beginning,BOP,beginning of pipe
MUN_SUB_PT,MUN_SUB_PT,BeginPt,BOP,beginning of pipe
MUN_SUB_PT,MUN_SUB_PT,Begin-Pt,BOP,beginning of pipe
MUN_SUB_PT,MUN_SUB_PT,BEND,BEND,BEND
MUN_SUB_PT,MUN_SUB_PT,Chamber,CH,chamber
MUN_SUB_PT,MUN_SUB_PT,CO,ACO,cleanout
MUN_SUB_PT,MUN_SUB_PT,CO (cleanout),ACO,cleanout
MUN_SUB_PT,MUN_SUB_PT,COL,COL,collector
MUN_SUB_PT,MUN_SUB_PT,CP,CP,concrete pipe
MUN_SUB_PT,MUN_SUB_PT,Crown,CRWN,crown
MUN_SUB_PT,MUN_SUB_PT,Crown-A,CRWN-A,crown-A
MUN_SUB_PT,MUN_SUB_PT,Crown-A FT,CRWN-AFT,crown-AFT
MUN_SUB_PT,MUN_SUB_PT,"Crown-A, FT",CRWN-AFT,crown-AFT
MUN_SUB_PT,MUN_SUB_PT,Crown-A; FT,CRWN-AFT,crown-AFT
MUN_SUB_PT,MUN_SUB_PT,Crown-V,CRWN-V,crown-V
MUN_SUB_PT,MUN_SUB_PT,CSO,CSO,combined sewer overflow
MUN_SUB_PT,MUN_SUB_PT,CSO (combined sewer,CSO,combined sewer overflow
MUN_SUB_PT,MUN_SUB_PT,DC,DC,direct connection
MUN_SUB_PT,MUN_SUB_PT,DCE (end of pipe),DCE,"direct connection, end of pipe"
MUN_SUB_PT,MUN_SUB_PT,"DCE (end of pipe, no",DCE,"direct connection, end of pipe"
MUN_SUB_PT,MUN_SUB_PT,DCE (End with access,DCE,"direct connection, end of pipe"
MUN_SUB_PT,MUN_SUB_PT,DCM (direct connecti,DCM,"direct connection, mainline"
MUN_SUB_PT,MUN_SUB_PT,DCM (Direct Mainline,DCM,"direct connection, mainline"
MUN_SUB_PT,MUN_SUB_PT,DFT (double flush ta,DFT,double flush tank
MUN_SUB_PT,MUN_SUB_PT,Direct Connection,DC,direct connection
MUN_SUB_PT,MUN_SUB_PT,Diversion,DS,diversion structure
MUN_SUB_PT,MUN_SUB_PT,Diversion Structure,DS,diversion structure
MUN_SUB_PT,MUN_SUB_PT,Drop,D,drop
MUN_SUB_PT,MUN_SUB_PT,DS,DS,diversion structure
MUN_SUB_PT,MUN_SUB_PT,DS (diversion struct,DS,diversion structure
MUN_SUB_PT,MUN_SUB_PT,EBP,EBP,Emergency Bypass
MUN_SUB_PT,MUN_SUB_PT,END,EOP,end of pipe
MUN_SUB_PT,MUN_SUB_PT,End of Pipe,EOP,end of pipe
MUN_SUB_PT,MUN_SUB_PT,EOP,EOP,end of pipe
MUN_SUB_PT,MUN_SUB_PT,EQ,EQ,Equlization Facility
MUN_SUB_PT,MUN_SUB_PT,FD_,FD,Flow Divider
