source_table,source_field,source_code,target_table,target_field,target_code,target_domain
nodes,CALCD_SEWERTYPE,COMBINED SEWER,nodes,SEWERTYPE,COM,domain_trww_sewertype
nodes,CALCD_SEWERTYPE,SEPARATE STORM,nodes,SEWERTYPE,STM,domain_trww_sewertype
nodes,CALCD_SEWERTYPE,ssInlet,nodes,SEWERTYPE,STM,domain_trww_sewertype
nodes,CALCD_SEWERTYPE,ssManhole,nodes,SEWERTYPE,SAN,domain_trww_sewertype
nodes,CALCD_SEWERTYPE,ssNetworkStructure,nodes,SEWERTYPE,SAN,domain_trww_sewertype
nodes,CALCD_SEWERTYPE,swDischargePoint,nodes,SEWERTYPE,STM,domain_trww_sewertype
nodes,CALCD_SEWERTYPE,swInlets,nodes,SEWERTYPE,STM,domain_trww_sewertype
nodes,CRIT_STRCT,YES,nodes,CRIT_STRCT,Y,domain_trww_yn
nodes,CRIT_STRCT,Yes,nodes,CRIT_STRCT,Y,domain_trww_yn
nodes,LIDTOINVI2,,nodes,INVRT_ELV,,
nodes,LIDTOINVI3,,nodes,INVRT_ELV2,,
nodes,MH_TOP_EL,,nodes,MH_TOP_ELV,,
nodes,OWNER_NAME,McKeesRocks,nodes,OWNER_NAME,MROC,domain_trww_owner
nodes,OWNER_NAME,MckeesRocks,nodes,OWNER_NAME,MROC,domain_trww_owner
nodes,OWNER_NAME,Stowe,nodes,OWNER_NAME,STOW,domain_trww_owner
nodes,REL_GRADE,Above,nodes,REL_GRADE,Above,domain_trww_grade
nodes,REL_GRADE,Below,nodes,REL_GRADE,Below,domain_trww_grade
nodes,REL_GRADE,Level,nodes,REL_GRADE,Level,domain_trww_grade
nodes,SRC_FEATURETYPE,ssInlet,nodes,TYPE_PT,CB,domain_trww_pt_types
nodes,SRC_FEATURETYPE,ssManhole,nodes,TYPE_PT,MH,domain_trww_pt_types
nodes,SRC_FEATURETYPE,swDischargePoint,nodes,TYPE_PT,DP,domain_trww_pt_types
nodes,SRC_FEATURETYPE,swInlets,nodes,TYPE_PT,CB,domain_trww_pt_types
nodes,STRUCTTYPE,Diversion Chamber,nodes,TYPE_PT,CH,domain_trww_pt_types
nodes,STRUCTTYPE,Pump Station,nodes,TYPE_PT,PS,domain_trww_pt_types
nodes,STRCT_STAT,Abandoned,nodes,STATUS_PT,ABND,domain_trww_status
nodes,STRCT_STAT,Active,nodes,STATUS_PT,ACT,domain_trww_status
pipes,ALC_Conn,,pipes,SRC_POC,,
pipes,CALCD_SEWERTYPE,COMBINED SEWER,pipes,SEWERTYPE,COM,domain_trww_sewertype
pipes,CALCD_SEWERTYPE,CS,pipes,SEWERTYPE,COM,domain_trww_sewertype
